VSG,pct,day,parasites
parasitemia,,6,100000
parasitemia,,7,6000000
parasitemia,,8,38000000
parasitemia,,10,100000
parasitemia,,12,100000
parasitemia,,14,66000000
parasitemia,,16,38000000
parasitemia,,18,100000
parasitemia,,20,100000
parasitemia,,21,100000
parasitemia,,22,4000000
parasitemia,,24,150000000
parasitemia,,26,26000000
parasitemia,,28,44000000
parasitemia,,30,50000000
c6715_g1_i1_d6-7_1473,99.63892227,7,5978335.336
c6715_g1_i1_d6-7_1473,.001,12,1
c6715_g1_i1_d6-7_1473,.001,14,1
c6715_g1_i1_d6-7_1473,.001,18,1
c6715_g1_i1_d6-7_1473,.001,21,1
c6715_g1_i1_d6-7_1473,.001,24,1
c6715_g1_i1_d6-7_1473,0.216118815,26,56190.89196
c6715_g1_i1_d6-7_1473,.001,30,1
c2565_g2_i1_d12_1602,0.178749283,7,10724.95696
c2565_g2_i1_d12_1602,0.772585902,12,772.5859021
c2565_g2_i1_d12_1602,0.184297764,14,121636.5244
c2565_g2_i1_d12_1602,.001,18,1
c2565_g2_i1_d12_1602,.001,21,1
c2565_g2_i1_d12_1602,.001,24,1
c2565_g2_i1_d12_1602,.001,26,1
c2565_g2_i1_d12_1602,.001,30,1
c4432_g1_i2_d21_978,0.034499637,7,2069.978248
c4432_g1_i2_d21_978,.001,12,1
c4432_g1_i2_d21_978,.001,14,1
c4432_g1_i2_d21_978,0.633591743,18,633.5917428
c4432_g1_i2_d21_978,0.051501771,21,51.50177064
c4432_g1_i2_d21_978,.001,24,1
c4432_g1_i2_d21_978,0.296286485,26,77034.48615
c4432_g1_i2_d21_978,0.011530679,30,5765.339555
c3778_g2_i1_d18_1392,0.033019649,7,1981.178933
c3778_g2_i1_d18_1392,3.243833769,12,3243.833769
c3778_g2_i1_d18_1392,0.03427764,14,22623.24236
c3778_g2_i1_d18_1392,1.197348188,18,1197.348188
c3778_g2_i1_d18_1392,.001,21,1
c3778_g2_i1_d18_1392,.001,24,1
c3778_g2_i1_d18_1392,.001,26,1
c3778_g2_i1_d18_1392,.001,30,1
c3778_g1_i1_d18_1467,0.023005708,7,1380.342457
c3778_g1_i1_d18_1467,42.99671178,12,42996.71178
c3778_g1_i1_d18_1467,27.91900712,14,18426544.7
c3778_g1_i1_d18_1467,36.09512759,18,36095.12759
c3778_g1_i1_d18_1467,.001,21,1
c3778_g1_i1_d18_1467,.001,24,1
c3778_g1_i1_d18_1467,.001,26,1
c3778_g1_i1_d18_1467,.001,30,1
c4563_g1_i1_d14_1408,0.011217706,7,673.0623716
c4563_g1_i1_d14_1408,.001,12,1
c4563_g1_i1_d14_1408,.001,14,1
c4563_g1_i1_d14_1408,.001,18,1
c4563_g1_i1_d14_1408,0.154686386,21,154.6863864
c4563_g1_i1_d14_1408,0.017092401,24,25638.60183
c4563_g1_i1_d14_1408,.001,26,1
c4563_g1_i1_d14_1408,.001,30,1
c1469_g1_i1_d21_976,0.011138093,7,668.2856048
c1469_g1_i1_d21_976,.001,12,1
c1469_g1_i1_d21_976,.001,14,1
c1469_g1_i1_d21_976,0.059560217,18,59.56021658
c1469_g1_i1_d21_976,0.01604425,21,16.04425049
c1469_g1_i1_d21_976,.001,24,1
c1469_g1_i1_d21_976,0.036080111,26,9380.828914
c1469_g1_i1_d21_976,.001,30,1
c4209_g2_i1_d6-7_1392,0.010707388,7,642.4432734
c4209_g2_i1_d6-7_1392,40.86731487,12,40867.31487
c4209_g2_i1_d6-7_1392,46.88857768,14,30946461.27
c4209_g2_i1_d6-7_1392,0.407931458,18,407.9314583
c4209_g2_i1_d6-7_1392,.001,21,1
c4209_g2_i1_d6-7_1392,.001,24,1
c4209_g2_i1_d6-7_1392,.001,26,1
c4209_g2_i1_d6-7_1392,.001,30,1
c3778_g3_i1_d18_1581,0.010404396,7,624.2637578
c3778_g3_i1_d18_1581,.001,12,1
c3778_g3_i1_d18_1581,.001,14,1
c3778_g3_i1_d18_1581,.001,18,1
c3778_g3_i1_d18_1581,.001,21,1
c3778_g3_i1_d18_1581,.001,24,1
c3778_g3_i1_d18_1581,0.026146417,26,6798.068366
c3778_g3_i1_d18_1581,.001,30,1
c2595_g1_i2_d12_1449,.001,7,1
c2595_g1_i2_d12_1449,1.390966966,12,1390.966966
c2595_g1_i2_d12_1449,22.95260551,14,15148719.64
c2595_g1_i2_d12_1449,0.263510417,18,263.5104169
c2595_g1_i2_d12_1449,.001,21,1
c2595_g1_i2_d12_1449,.001,24,1
c2595_g1_i2_d12_1449,.001,26,1
c2595_g1_i2_d12_1449,.001,30,1
c4483_g5_i1_d21_943,.001,7,1
c4483_g5_i1_d21_943,.001,12,1
c4483_g5_i1_d21_943,.001,14,1
c4483_g5_i1_d21_943,.001,14,1
c4483_g5_i1_d21_943,.001,18,1
c4483_g5_i1_d21_943,.001,21,1
c4483_g5_i1_d21_943,.001,24,1
c4483_g5_i1_d21_943,0.060363576,26,15694.52971
c4483_g5_i1_d21_943,.001,30,1
c914_g1_i1_d12_1542,.001,7,1
c914_g1_i1_d12_1542,0.286017988,12,286.0179877
c914_g1_i1_d12_1542,0.856405881,14,565227.8816
c914_g1_i1_d12_1542,13.86282009,18,13862.82009
c914_g1_i1_d12_1542,.001,21,1
c914_g1_i1_d12_1542,.001,24,1
c914_g1_i1_d12_1542,.001,26,1
c914_g1_i1_d12_1542,.001,30,1
c1376_g1_i1_d14_1321,.001,7,1
c1376_g1_i1_d14_1321,.001,12,1
c1376_g1_i1_d14_1321,.001,14,1
c1376_g1_i1_d14_1321,0.521611238,18,521.6112383
c1376_g1_i1_d14_1321,.001,21,1
c1376_g1_i1_d14_1321,0.014788056,24,22182.08443
c1376_g1_i1_d14_1321,0.024387533,26,6340.758562
c1376_g1_i1_d14_1321,0.024672071,30,12336.03573
c2169_g1_i1_d12_1431,.001,7,1
c2169_g1_i1_d12_1431,.001,12,1
c2169_g1_i1_d12_1431,.001,14,1
