VSG,pct,day,parasites
parasitemia,,6,2000000
parasitemia,,7,76000000
parasitemia,,8,100000000
parasitemia,,10,14000000
parasitemia,,12,100000
parasitemia,,14,8000000
parasitemia,,16,24000000
parasitemia,,18,6000000
parasitemia,,20,16000000
parasitemia,,21,12000000
parasitemia,,22,1600000
parasitemia,,24,1000000
parasitemia,,26,100000
parasitemia,,28,1300000
parasitemia,,30,100000
c3778_g1_i1_d18_1467,94.13397559,6,1882679.512
c3778_g1_i1_d18_1467,0.484785484,12,484.7854836
c3778_g1_i1_d18_1467,0.034723824,14,2777.905929
c3778_g1_i1_d18_1467,.001,18,1
c3778_g1_i1_d18_1467,.001,21,1
c3778_g1_i1_d18_1467,.001,24,1
c3778_g1_i1_d18_1467,0.011359985,26,11.35998454
c3778_g1_i1_d18_1467,.001,30,1
c2565_g2_i1_d12_1602,5.652618554,6,113052.3711
c2565_g2_i1_d12_1602,5.78236499,12,5782.36499
c2565_g2_i1_d12_1602,.001,14,1
c2565_g2_i1_d12_1602,.001,18,1
c2565_g2_i1_d12_1602,0.022635618,21,2716.274115
c2565_g2_i1_d12_1602,.001,24,1
c2565_g2_i1_d12_1602,.001,26,1
c2565_g2_i1_d12_1602,.001,30,1
c6715_g1_i1_d6-7_1473,0.043307641,6,866.1528204
c6715_g1_i1_d6-7_1473,0.272907407,12,272.9074067
c6715_g1_i1_d6-7_1473,.001,14,1
c6715_g1_i1_d6-7_1473,.001,18,1
c6715_g1_i1_d6-7_1473,.001,21,1
c6715_g1_i1_d6-7_1473,.001,24,1
c6715_g1_i1_d6-7_1473,.001,26,1
c6715_g1_i1_d6-7_1473,.001,30,1
c4432_g1_i2_d21_978,0.039028261,6,780.5652208
c4432_g1_i2_d21_978,0.150433066,12,150.4330665
c4432_g1_i2_d21_978,.001,14,1
c4432_g1_i2_d21_978,0.01423896,18,854.3375734
c4432_g1_i2_d21_978,0.35191561,21,42229.87317
c4432_g1_i2_d21_978,1.856530784,24,18565.30784
c4432_g1_i2_d21_978,1.168487151,26,1168.487151
c4432_g1_i2_d21_978,0.043496189,30,43.49618866
c3778_g2_i1_d18_1392,0.03181967,6,636.3934084
c3778_g2_i1_d18_1392,1.649422709,12,1649.422709
c3778_g2_i1_d18_1392,3.307375492,14,264590.0394
c3778_g2_i1_d18_1392,41.94372734,18,2516623.641
c3778_g2_i1_d18_1392,0.016930225,21,2031.627024
c3778_g2_i1_d18_1392,.001,24,1
