VSG,pct,day,parasites
parasitemia,,96,10000000
parasitemia,,99,12000000
parasitemia,,102,11000000
parasitemia,,105,1250000000
c728_g1_i1_d105_1492,40.41788397,96,4041788.397
c728_g1_i1_d105_1492,0.025941241,99,3112.948884
c728_g1_i1_d105_1492,0.026551009,102,2920.610945
c728_g1_i1_d105_1492,0.05059408,105,632426.0052
c1352_g3_i1_d96_1410,31.61992875,96,3161992.875
c1352_g3_i1_d96_1410,29.52003764,99,3542404.517
c1352_g3_i1_d96_1410,2.225348491,102,244788.334
c1352_g3_i1_d96_1410,0.071674029,105,895925.3588
c1399_g2_i3_d96_1521,6.950266256,96,695026.6256
c1399_g2_i3_d96_1521,.001,99,1
c1399_g2_i3_d96_1521,.001,102,1
c1399_g2_i3_d96_1521,.001,105,1
c1352_g4_i1_d96_1503,5.146739268,96,514673.9268
c1352_g4_i1_d96_1503,0.013866096,99,1663.931461
c1352_g4_i1_d96_1503,0.012741648,102,1401.581283
c1352_g4_i1_d96_1503,0.01727331,105,215916.3694
c753_g1_i2_d105_1460,4.429538941,96,442953.8941
c753_g1_i2_d105_1460,.001,99,1
c753_g1_i2_d105_1460,.001,102,1
c753_g1_i2_d105_1460,.001,105,1
c1458_g2_i1_d99_1371,4.317154737,96,431715.4737
c1458_g2_i1_d99_1371,44.83260394,99,5379912.473
c1458_g2_i1_d99_1371,1.324581524,102,145703.9676
c1458_g2_i1_d99_1371,0.069512535,105,868906.6874
c1356_g1_i1_d96_1412,1.176598224,96,117659.8224
c1356_g1_i1_d96_1412,.001,99,1
c1356_g1_i1_d96_1412,.001,102,1
c1356_g1_i1_d96_1412,.001,105,1
c446_g1_i1_d102_1466,1.170905549,96,117090.5549
c446_g1_i1_d102_1466,9.424357843,99,1130922.941
c446_g1_i1_d102_1466,1.822552175,102,200480.7392
c446_g1_i1_d102_1466,0.375327024,105,4691587.8
c1385_g1_i1_d99_1491,0.332861001,96,33286.10009
c1385_g1_i1_d99_1491,0.855137207,99,102616.4648
c1385_g1_i1_d99_1491,.001,102,1
c1385_g1_i1_d99_1491,.001,105,1
c1411_g1_i1_d96_1470,0.324071317,96,32407.13168
c1411_g1_i1_d96_1470,.001,99,1
c1411_g1_i1_d96_1470,.001,102,1
c1411_g1_i1_d96_1470,.001,105,1
c1406_g1_i3_d96_1449,0.299545986,96,29954.59864
c1406_g1_i3_d96_1449,.001,99,1
c1406_g1_i3_d96_1449,.001,102,1
c1406_g1_i3_d96_1449,.001,105,1
c1383_g1_i1_d96_1494,0.295535704,96,29553.5704
c1383_g1_i1_d96_1494,.001,99,1
c1383_g1_i1_d96_1494,.001,102,1
c1383_g1_i1_d96_1494,.001,105,1
c1409_g1_i3_d96_1400,0.284735875,96,28473.58748
c1409_g1_i3_d96_1400,.001,99,1
c1409_g1_i3_d96_1400,.001,102,1
c1409_g1_i3_d96_1400,.001,105,1
c1403_g2_i1_d96_1498,0.272742307,96,27274.23068
c1403_g2_i1_d96_1498,.001,99,1
c1403_g2_i1_d96_1498,0.011302489,102,1243.273799
c1403_g2_i1_d96_1498,.001,105,1
c1379_g1_i2_d96_1449,0.268635095,96,26863.50949
c1379_g1_i2_d96_1449,.001,99,1
c1379_g1_i2_d96_1449,.001,102,1
c1379_g1_i2_d96_1449,.001,105,1
c686_g1_i1_d105_912,0.233695358,96,23369.53578
c686_g1_i1_d105_912,.001,99,1
c686_g1_i1_d105_912,.001,102,1
c686_g1_i1_d105_912,.001,105,1
c1409_g1_i2_d96_1403,0.19199945,96,19199.94499
c1409_g1_i2_d96_1403,.001,99,1
c1409_g1_i2_d96_1403,.001,102,1
c1409_g1_i2_d96_1403,.001,105,1
c391_g1_i1_d105_1399,0.168234715,96,16823.4715
c391_g1_i1_d105_1399,0.131163441,99,15739.61293
c391_g1_i1_d105_1399,.001,102,1
c391_g1_i1_d105_1399,.001,105,1
c370_g1_i1_d102_1713,0.131332012,96,13133.20121
c370_g1_i1_d102_1713,4.567786781,99,548134.4137
c370_g1_i1_d102_1713,76.68650103,102,8435515.113
c370_g1_i1_d102_1713,19.92359674,105,249044959.2
c1397_g2_i3_d96_1559,0.116578201,96,11657.8201
c1397_g2_i3_d96_1559,.001,99,1
c1397_g2_i3_d96_1559,.001,102,1
c1397_g2_i3_d96_1559,.001,105,1
c1359_g3_i1_d96_1593,0.116408717,96,11640.87172
c1359_g3_i1_d96_1593,.001,99,1
c1359_g3_i1_d96_1593,.001,102,1
c1359_g3_i1_d96_1593,.001,105,1
c1401_g1_i2_d96_1090,0.094631759,96,9463.175878
c1401_g1_i2_d96_1090,0.0797306,99,9567.671984
c1401_g1_i2_d96_1090,0.238133384,102,26194.67221
c1401_g1_i2_d96_1090,2.041612369,105,25520154.61
c1444_g2_i1_d99_1497,0.092921083,96,9292.108262
c1444_g2_i1_d99_1497,0.078740287,99,9448.834446
c1444_g2_i1_d99_1497,.001,102,1
c1444_g2_i1_d99_1497,.001,105,1
c1390_g1_i3_d96_1415,0.080157301,96,8015.730096
c1390_g1_i3_d96_1415,.001,99,1
c1390_g1_i3_d96_1415,.001,102,1
c1390_g1_i3_d96_1415,.001,105,1
c736_g2_i1_d105_1440,0.077737856,96,7773.785565
c736_g2_i1_d105_1440,.001,99,1
c736_g2_i1_d105_1440,.001,102,1
c736_g2_i1_d105_1440,.001,105,1
c754_g1_i1_d105_1455,0.07618298,96,7618.298006
c754_g1_i1_d105_1455,4.581445997,99,549773.5197
c754_g1_i1_d105_1455,6.787849414,102,746663.4355
c754_g1_i1_d105_1455,12.8793931,105,160992413.7
c1419_g1_i1_d96_1485,0.068262759,96,6826.275894
c1419_g1_i1_d96_1485,0.051115943,99,6133.913176
c1419_g1_i1_d96_1485,.001,102,1
c1419_g1_i1_d96_1485,.001,105,1
c754_g2_i1_d105_1491,0.067156151,96,6715.615124
c754_g2_i1_d105_1491,0.366503146,99,43980.37751
c754_g2_i1_d105_1491,2.480655689,102,272872.1258
c754_g2_i1_d105_1491,33.94218891,105,424277361.4
c1400_g1_i2_d96_1521,0.058054117,96,5805.411696
c1400_g1_i2_d96_1521,.001,99,1
c1400_g1_i2_d96_1521,.001,102,1
c1400_g1_i2_d96_1521,.001,105,1
c1380_g1_i1_d96_1398,0.054536255,96,5453.625496
c1380_g1_i1_d96_1398,0.179937872,99,21592.54459
c1380_g1_i1_d96_1398,.001,102,1
c1380_g1_i1_d96_1398,.001,105,1
c1390_g1_i2_d96_1415,0.049181809,96,4918.180943
c1390_g1_i2_d96_1415,.001,99,1
c1390_g1_i2_d96_1415,.001,102,1
c1390_g1_i2_d96_1415,.001,105,1
c1338_g1_i1_d99_1240,0.047857092,96,4785.709172
c1338_g1_i1_d99_1240,0.038392064,99,4607.04766
c1338_g1_i1_d99_1240,.001,102,1
c1338_g1_i1_d99_1240,.001,105,1
c1452_g1_i1_d99_1431,0.047807873,96,4780.787284
c1452_g1_i1_d99_1431,0.051279272,99,6153.51265
c1452_g1_i1_d99_1431,.001,102,1
c1452_g1_i1_d99_1431,.001,105,1
c1381_g3_i4_d96_1353,0.046847522,96,4684.752176
c1381_g3_i4_d96_1353,0.023238521,99,2788.622513
c1381_g3_i4_d96_1353,.001,102,1
c1381_g3_i4_d96_1353,.001,105,1
c1434_g3_i2_d99_1467,0.04521229,96,4521.229046
c1434_g3_i2_d99_1467,0.068369674,99,8204.360919
c1434_g3_i2_d99_1467,.001,102,1
c1434_g3_i2_d99_1467,.001,105,1
c443_g3_i1_d102_1440,0.039496468,96,3949.646813
c443_g3_i1_d102_1440,0.423209678,99,50785.1614
c443_g3_i1_d102_1440,2.384033842,102,262243.7226
c443_g3_i1_d102_1440,18.38990525,105,229873815.6
c1407_g2_i3_d96_1605,0.034750523,96,3475.052289
c1407_g2_i3_d96_1605,0.086845983,99,10421.51795
c1407_g2_i3_d96_1605,.001,102,1
c1407_g2_i3_d96_1605,.001,105,1
c1406_g4_i1_d96_1467,0.033916473,96,3391.647329
c1406_g4_i1_d96_1467,0.136480497,99,16377.65961
c1406_g4_i1_d96_1467,.001,102,1
c1406_g4_i1_d96_1467,.001,105,1
c1418_g3_i1_d96_1374,0.030502598,96,3050.259846
c1418_g3_i1_d96_1374,0.073556726,99,8826.807079
c1418_g3_i1_d96_1374,.001,102,1
c1418_g3_i1_d96_1374,.001,105,1
c1461_g4_i1_d99_1125,0.029883158,96,2988.315798
c1461_g4_i1_d99_1125,0.050590366,99,6070.84391
c1461_g4_i1_d99_1125,.001,102,1
c1461_g4_i1_d99_1125,.001,105,1
c1407_g1_i1_d96_1473,0.029175546,96,2917.554554
c1407_g1_i1_d96_1473,0.108259574,99,12991.14885
c1407_g1_i1_d96_1473,.001,102,1
c1407_g1_i1_d96_1473,.001,105,1
c1360_g1_i3_d96_1455,0.026520193,96,2652.019317
c1360_g1_i3_d96_1455,0.01942321,99,2330.785215
c1360_g1_i3_d96_1455,.001,102,1
c1360_g1_i3_d96_1455,.001,105,1
c1203_g1_i1_d96_1439,0.026348616,96,2634.861577
c1203_g1_i1_d96_1439,0.060112705,99,7213.524567
c1203_g1_i1_d96_1439,.001,102,1
c1203_g1_i1_d96_1439,.001,105,1
c1360_g2_i2_d96_1443,0.021621886,96,2162.188551
c1360_g2_i2_d96_1443,0.013259359,99,1591.123073
c1360_g2_i2_d96_1443,.001,102,1
c1360_g2_i2_d96_1443,.001,105,1
c1322_g1_i1_d96_1500,0.017915809,96,1791.580916
c1322_g1_i1_d96_1500,0.021851458,99,2622.174996
c1322_g1_i1_d96_1500,.001,102,1
c1322_g1_i1_d96_1500,.001,105,1
c1473_g2_i1_d99_1563,0.017648442,96,1764.844166
c1473_g2_i1_d99_1563,0.043147385,99,5177.686193
c1473_g2_i1_d99_1563,.001,102,1
c1473_g2_i1_d99_1563,.001,105,1
c1411_g1_i1_d99_1388,0.0157125,96,1571.24996
c1411_g1_i1_d99_1388,0.045047452,99,5405.694259
c1411_g1_i1_d99_1388,.001,102,1
c1411_g1_i1_d99_1388,.001,105,1
c1407_g2_i2_d96_1605,0.014503461,96,1450.346067
c1407_g2_i2_d96_1605,0.123023782,99,14762.85383
c1407_g2_i2_d96_1605,.001,102,1
c1407_g2_i2_d96_1605,.001,105,1
c1400_g1_i1_d96_1521,0.014347587,96,1434.758739
c1400_g1_i1_d96_1521,.001,99,1
c1400_g1_i1_d96_1521,.001,102,1
c1400_g1_i1_d96_1521,.001,105,1
c754_g1_i2_d105_1452,0.014239702,96,1423.970196
c754_g1_i2_d105_1452,1.608790525,99,193054.863
c754_g1_i2_d105_1452,2.264001346,102,249040.1481
c754_g1_i2_d105_1452,6.850541505,105,85631768.82
c1469_g2_i2_d99_1388,0.013245786,96,1324.578553
c1469_g2_i2_d99_1388,0.03318676,99,3982.411187
c1469_g2_i2_d99_1388,.001,102,1
c1469_g2_i2_d99_1388,.001,105,1
c1381_g3_i2_d96_1476,0.013171335,96,1317.133465
c1381_g3_i2_d96_1476,0.03891018,99,4669.221644
c1381_g3_i2_d96_1476,.001,102,1
c1381_g3_i2_d96_1476,.001,105,1
c1418_g2_i1_d96_1467,0.012039995,96,1203.999516
c1418_g2_i1_d96_1467,.001,99,1
c1418_g2_i1_d96_1467,.001,102,1
c1418_g2_i1_d96_1467,.001,105,1
c1406_g2_i2_d96_1002,0.011911894,96,1191.189366
c1406_g2_i2_d96_1002,.001,99,1
c1406_g2_i2_d96_1002,.001,102,1
c1406_g2_i2_d96_1002,.001,105,1
c1399_g1_i1_d99_1404,0.011617186,96,1161.718555
c1399_g1_i1_d99_1404,.001,99,1
c1399_g1_i1_d99_1404,.001,102,1
c1399_g1_i1_d99_1404,.001,105,1
c1355_g2_i2_d96_1404,0.011375311,96,1137.531064
c1355_g2_i2_d96_1404,.001,99,1
c1355_g2_i2_d96_1404,.001,102,1
c1355_g2_i2_d96_1404,.001,105,1
c1469_g2_i1_d99_1391,0.011024619,96,1102.461948
c1469_g2_i1_d99_1391,0.028668349,99,3440.201841
c1469_g2_i1_d99_1391,.001,102,1
c1469_g2_i1_d99_1391,.001,105,1
