day,H_bits,H_max,efficiency,n_vsgs_expressed,effective_n_vsgs,dominant_pct,bootstrap_mean,bootstrap_CI_lo,bootstrap_CI_hi,mouse
6,0.1936,7.0553,0.0274,133,1.14,98.06,0.1771,0.1106,0.2541,Mouse1
12,2.1972,7.0553,0.3114,133,4.59,48.23,2.1767,2.0775,2.2815,Mouse1
14,2.1349,7.0553,0.3026,133,4.39,30.33,2.1149,2.0545,2.1801,Mouse1
18,1.5949,7.0553,0.2261,133,3.02,61.77,1.5684,1.4551,1.6807,Mouse1
21,2.1571,7.0553,0.3057,133,4.46,48.44,2.127,2.0203,2.2301,Mouse1
24,0.0466,7.0553,0.0066,133,1.03,99.68,0.0355,0.0,0.0778,Mouse1
26,3.9879,7.0553,0.5652,133,15.87,25.96,3.9283,3.8066,4.0576,Mouse1
30,2.113,7.0553,0.2995,133,4.33,65.4,2.0844,1.9529,2.205,Mouse1
