day,H_bits,H_max,efficiency,n_vsgs_expressed,effective_n_vsgs,dominant_pct,bootstrap_mean,bootstrap_CI_lo,bootstrap_CI_hi,mouse
6,0.3588,7.0768,0.0507,135,1.28,94.05,0.3466,0.2805,0.4149,Mouse2
12,1.9819,7.0768,0.2801,135,3.95,62.11,1.9513,1.8166,2.0753,Mouse2
14,1.3651,7.0768,0.1929,135,2.58,49.81,1.3455,1.272,1.4293,Mouse2
18,2.5016,7.0768,0.3535,135,5.66,41.97,2.4558,2.3341,2.5709,Mouse2
21,2.8591,7.0768,0.404,135,7.26,34.67,2.8161,2.6952,2.938,Mouse2
24,2.018,7.0875,0.2847,136,4.05,66.83,1.9844,1.8492,2.127,Mouse2
26,0.9035,7.0768,0.1277,135,1.87,89.36,0.8741,0.7361,0.9961,Mouse2
30,2.3266,7.0768,0.3288,135,5.02,34.74,2.296,2.2048,2.3851,Mouse2
