day,H_bits,H_max,efficiency,n_vsgs_expressed,effective_n_vsgs,dominant_pct,bootstrap_mean,bootstrap_CI_lo,bootstrap_CI_hi,mouse
96,2.5111,6.5999,0.3805,97,5.7,40.55,2.4693,2.3527,2.5943,Mouse3_late
99,2.3292,6.5999,0.3529,97,5.03,44.99,2.2864,2.1723,2.4038,Mouse3_late
102,1.5499,6.5999,0.2348,97,2.93,76.79,1.5254,1.3859,1.6579,Mouse3_late
105,2.6294,6.5999,0.3984,97,6.19,33.96,2.6057,2.5141,2.6964,Mouse3_late
