day,H_bits,H_max,efficiency,n_vsgs_expressed,effective_n_vsgs,dominant_pct,bootstrap_mean,bootstrap_CI_lo,bootstrap_CI_hi,mouse
7,0.0472,6.0224,0.0078,65,1.03,99.63,0.0393,0.0,0.0845,Mouse3
12,1.8254,6.0224,0.3031,65,3.54,42.99,1.8148,1.7308,1.9052,Mouse3
14,1.6789,6.0444,0.2778,66,3.2,46.89,1.6715,1.6166,1.7324,Mouse3
18,2.3834,6.0224,0.3958,65,5.22,36.09,2.364,2.261,2.4682,Mouse3
21,0.7506,6.0224,0.1246,65,1.68,88.87,0.7334,0.6239,0.8425,Mouse3
24,0.7193,6.0224,0.1194,65,1.65,87.4,0.7086,0.6148,0.7991,Mouse3
26,2.6672,6.0224,0.4429,65,6.35,34.98,2.646,2.5549,2.7354,Mouse3
30,1.6722,6.0224,0.2777,65,3.19,56.93,1.6534,1.5588,1.7542,Mouse3
